# Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21530 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/cronin2010b/cronin2010b-composite.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Parameter_Keywords: geochemistry, carbon isotopes, oxygen isotopes, climate reconstruction
#--------------------
# Contribution_Date
#	Date: 2017-02-24
#--------------------
# Title
#	Study_Name: Chesapeake Bay 2400 Year Isotope-Mg/Ca Data and Temperature Estimates 
#--------------------
# Investigators
# 	Investigators: Cronin, T.M.; Hayo, K.; Thunell, R.C.; Dwyer, G.S.; Saenger, C.; Willard, D.A.
#--------------------
# Description_and_Notes
#	Description: Benthic foraminifer stable isotope (d18O and d13C) and Mg/Ca data, plus Bay temperature and salinity 
#	estimates for the past 2,400 years.  
#--------------------
# Publication 
#	Authors: T.M. Cronin, K. Hayo, R.C. Thunell, G.S. Dwyer, C. Saenger, D.A. Willard
#	Published_Date_or_Year: 2010-11-10
#	Published_Title: The Medieval Climate Anomaly and Little Ice Age in Chesapeake Bay and the North Atlantic Ocean
#	Journal_Name: Palaeogeography, Palaeoecology, Palaeoclimatology 
#	Volume: 297
#	Edition: 
#	Issue: 2
#	Pages: 299-310
#	Report_Number: 
#	DOI: 10.1016/j.palaeo.2010.08.009
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018210005031
#	Full_Citation: 
#	Abstract: A new 2400-year paleoclimate reconstruction from Chesapeake Bay (CB) (eastern US) was compared to other paleoclimate records in the North Atlantic region to evaluate climate variability during the Medieval Climate Anomaly (MCA) and Little Ice Age (LIA). Using Mg/Ca ratios from ostracodes and oxygen isotopes from benthic foraminifera as proxies for temperature and precipitation-driven estuarine hydrography, results show that warmest temperatures in CB reached 16-17C between 600 and 950 CE (Common Era), centuries before the classic European Medieval Warm Period (950-1100 CE) and peak warming in the Nordic Seas (1000-1400 CE). A series of centennial warm/cool cycles began about 1000 CE with temperature minima of ~8 to 9C about 1150, 1350, and 1650-1800 CE, and intervening warm periods (14-15C) centered at 1200, 1400, 1500 and 1600 CE. Precipitation variability in the eastern US included multiple dry intervals from 600 to 1200 CE, which contrasts with wet medieval conditions in the Caribbean. The eastern US experienced a wet LIA between 1650 and 1800 CE when the Caribbean was relatively dry. Comparison of the CB record with other records shows that the MCA and LIA were characterized by regionally asynchronous warming and complex spatial patterns of precipitation, possibly related to ocean-atmosphere processes.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US Geological Survey
#	Grant: Global Change Program
#------------------
# Site_Information 
#	Site_Name: Chesapeake Bay 
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean
#	Country: United States of America
#	Northernmost_Latitude: 38.8868
#	Southernmost_Latitude: 38.3263
#	Easternmost_Longitude: -76.3925
#	Westernmost_Longitude: -76.3982
#	Elevation: -25 m  
#------------------
# Data_Collection   
#	Collection_Name: Cronin2010bComposite
#	Earliest_Year: -183
#	Most_Recent_Year: 1995
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## core	core name, , , , , , , ,C
## depth_cm	depth, , , cm, , , , ,N
## age_AD	age, , , AD, , , , ,N
## Mg/Ca	Magnesium/Calcium ratio, Elphidium selseyense, , mmol/mol, , paleoceanography, , ,N 
## temp	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp , ,N
## temp-sm	temperature, , , degrees C, , climate reconstructions, Estimated Bay Temp 5PtSmooth, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
core	depth_cm	age_AD	Mg/Ca	temp	temp-sm
PTXT-2	389	1357.0	15.47	6.50	8.48
MD03-2661	298	1353.8	17.40	8.78	8.24
PTXT-2	391	1353.2	14.83	6.14	9.25
RD/2209	428	1341.7	21.64	11.51	10.38
PTXT-2	397	1341.6	27.73	13.30	10.70
RD/2209	430	1333.5	22.66	12.16	11.70
PTMC-3	218	1330.2	19.88	10.37	11.31
MD03-2661	310	1329.5	21.09	11.15	10.52
MD03-2661	312	1325.4	18.62	9.56	10.59
RD/2209	432	1325.3	18.32	9.37	10.23
PTMC-3	220	1323.2	23.19	12.51	10.51
MD03-2661	314	1321.3	17.04	8.54	10.99
MD03-2661	316	1317.2	23.25	12.55	11.69
RD/2209	434	1317.1	22.39	11.99	11.31
PTMC-3	222	1316.1	23.74	12.86	12.21
MD03-2661	318	1313.1	20.22	10.59	12.37
RD/2209	436	1308.9	24.02	13.04	12.22
PTMC-3	224	1308.8	24.53	13.37	11.77
MD03-2661	322	1304.9	21.22	11.24	11.66
PTMC-3	226	1301.3	20.26	10.62	11.71
RD/2209	438	1300.7	19.33	10.02	12.30
MD03-2661	326	1296.7	24.44	13.31	12.26
PTMC-3	228	1293.6	29.12	16.33	12.58
MD03-2661	328	1292.6	20.89	11.03	12.17
MD03-2661	330	1288.4	22.70	12.19	11.47
RD/2209	442	1284.3	16.18	7.99	10.41
MD03-2661	332	1284.3	19.04	9.84	10.45
MD03-2661	334	1280.1	20.87	11.02	9.87
RD/2209	444	1276.1	21.19	11.22	10.38
MD03-2661	336	1276.0	18.19	9.29	10.97
MD03-2661	338	1271.8	20.17	10.56	11.62
RD/2209	446	1267.9	23.59	12.77	11.19
MD03-2661	340	1267.6	25.88	14.24	12.51
MD03-2661	342	1263.5	17.86	9.07	13.10
PTMC-3	236	1261.0	28.51	15.93	12.74
RD/2209	448	1259.7	24.70	13.48	12.51
MD03-2661	346	1255.1	20.82	10.98	12.92
RD/2209	450	1251.5	24.09	13.09	11.97
MD03-2661	348	1250.9	21.01	11.11	12.29
MD03-2661	350	1246.7	21.13	11.18	12.88
RD/2209	452	1243.3	27.23	15.11	12.49
MD03-2661	352	1242.5	25.39	13.92	12.56
MD03-2661	354	1238.3	21.08	11.15	12.09
RD/2209	454	1235.1	21.53	11.44	10.18
MD03-2661	356	1234.1	17.47	8.82	9.63
MD03-2661	358	1229.8	12.44	5.59	9.86
MD03-2661	360	1225.6	21.11	11.17	10.19
MD03-2661	362	1221.4	22.86	12.29	11.12
RD/2209	458	1218.7	24.08	13.08	12.54
MD03-2661	364	1217.1	24.72	13.49	12.98
MD03-2661	366	1212.9	23.45	12.67	12.99
RD/2209	460	1210.5	24.49	13.34	13.11
MD03-2661	368	1208.6	23.00	12.38	12.46
MD03-2661	370	1204.4	24.97	13.65	13.05
RD/2209	462	1202.3	19.69	10.25	13.58
MD03-2661	372	1200.1	28.02	15.62	12.89
MD03-2661	374	1195.8	28.64	16.01	12.86
RD/2209	464	1194.1	17.64	8.93	13.76
MD03-2661	376	1191.5	24.70	13.48	12.44
MD03-2661	378	1187.2	26.69	14.76	11.87
RD/2209	466	1185.9	17.73	8.99	12.40
MD03-2661	380	1182.9	24.28	13.21	11.85
MD03-2661	382	1178.6	21.75	11.58	11.29
RD/2209	468	1177.7	20.40	10.71	11.80
MD03-2661	384	1174.3	22.37	11.98	11.20
MD03-2661	386	1170.0	21.66	11.52	11.46
RD/2209	470	1169.5	19.63	10.21	11.47
MD03-2661	388	1165.7	23.78	12.88	11.20
MD03-2661	390	1161.4	20.46	10.75	11.55
RD/2209	474	1153.0	20.27	10.62	11.62
MD03-2661	396	1148.3	24.43	13.31	10.56
RD/2209	476	1144.8	20.14	10.54	10.57
MD03-2661	398	1144.0	15.53	7.58	11.55
MD03-2661	400	1139.6	20.53	10.79	11.46
RD/2209	478	1136.6	27.86	15.51	11.65
MD03-2661	404	1130.9	23.75	12.87	12.26
RD/2209	480	1128.4	21.63	11.50	11.84
MD03-2661	406	1126.5	20.28	10.63	11.16
MD03-2661	408	1122.1	17.24	8.67	10.28
RD/2209	482	1120.2	22.60	12.12	9.45
MD03-2661	410	1117.7	16.89	8.45	9.34
MD03-2661	412	1113.3	15.23	7.38	9.83
RD/2209	484	1112.0	19.44	10.09	8.83
RD/2209	486	1103.8	21.04	11.12	9.97
MD03-2661	420	1095.7	14.85	7.13	10.81
RD/2209	488	1095.6	25.70	14.12	12.20
RD/2209	490	1087.4	21.77	11.59	12.24
MD03-2661	424	1086.8	30.24	17.04	13.40
RD/2209	492	1079.2	21.33	11.31	12.51
MD03-2661	428	1077.9	23.87	12.95	12.61
RD/2209	494	1071.0	18.77	9.66	12.46
MD03-2661	432	1069.0	22.55	12.09	12.62
MD03-2661	434	1064.5	29.07	16.29	12.67
RD/2209	496	1062.8	22.56	12.10	13.41
MD03-2661	436	1060.0	24.28	13.21	13.22
MD03-2661	438	1055.6	24.47	13.33	13.47
RD/2209	498	1054.6	21.11	11.16	13.54
MD03-2661	440	1051.1	31.00	17.54	12.74
MD03-2661	442	1046.6	23.13	12.47	12.35
RD/2209	500	1046.4	18.11	9.23	12.47
MD03-2661	444	1042.1	21.44	11.38	12.30
RD/2209	502	1038.2	22.00	11.74	12.69
MD03-2661	446	1037.6	29.64	16.66	12.45
RD/2209	504	1030.0	26.18	14.43	12.45
MD03-2661	450	1028.5	16.28	8.06	12.71
MD03-2661	452	1024.0	21.40	11.35	12.40
RD/2209	506	1021.8	24.05	13.06	12.55
MD03-2661	454	1019.5	27.24	15.11	13.35
MD03-2661	456	1014.9	27.36	15.19	13.77
RD/2209	508	1013.6	22.46	12.04	14.22
MD03-2661	462	1001.3	24.68	13.47	13.73
RD/2209	512	997.2	27.51	15.29	14.51
MD03-2661	464	996.7	23.43	12.66	14.77
MD03-2661	466	992.1	33.45	19.11	14.89
RD/2209	514	989.0	24.45	13.32	14.15
MD03-2661	468	987.6	25.60	14.06	14.81
RD/2209	516	980.8	21.79	11.61	13.66
RD/2209	518	972.6	28.54	15.95	13.50
RD/2209	520	964.4	24.53	13.37	13.18
RD/2209	522	956.2	23.20	12.52	12.94
RD/2209	524	948.0	23.08	12.43	12.18
RD/2209	526	939.8	19.95	10.42	11.83
MD03-2661	490	936.8	22.64	12.15	11.22
MD03-2661	492	932.1	21.81	11.61	12.73
RD/2209	532	915.2	18.52	9.50	15.26
RD/2209	536	898.8	34.76	19.96	15.00
MD03-2661	508	894.7	39.57	23.05	17.03
RD/2209	538	890.6	20.69	10.89	17.83
MD03-2661	512	885.2	37.55	21.76	16.32
RD/2209	542	874.2	24.69	13.47	14.30
MD03-2661	518	871.0	23.04	12.41	15.08
RD/2209	544	866.0	23.93	12.99	14.11
MD03-2661	522	861.5	26.75	14.80	14.44
RD/2209	546	857.8	29.95	16.86	14.81
MD03-2661	524	856.8	27.31	15.16	15.23
MD03-2661	526	852.0	25.91	14.26	14.58
RD/2209	548	849.6	27.17	15.07	13.57
MD03-2661	528	847.3	21.73	11.57	12.50
MD03-2661	530	842.5	22.06	11.78	12.85
RD/2209	550	841.4	19.03	9.82	12.29
RD/2209	552	833.2	28.60	15.99	12.56
MD03-2661	540	818.5	22.82	12.27	12.96
RD/2209	560	800.4	23.86	12.93	13.94
MD03-2661	550	794.4	25.18	13.79	13.93
RD/2209	562	792.2	26.67	14.75	13.28
MD03-2661	552	789.5	28.52	15.94	13.51
MD03-2661	554	784.7	17.73	8.99	13.35
MD03-2661	556	779.8	25.61	14.06	12.68
RD/2209	566	775.8	23.97	13.01	11.69
MD03-2661	558	774.9	21.46	11.39	12.22
MD03-2661	560	770.1	20.83	10.99	12.86
RD/2209	568	767.6	21.87	11.65	13.77
MD03-2661	562	765.2	30.54	17.24	13.30
MD03-2661	564	760.3	31.06	17.58	13.43
RD/2209	570	759.4	17.81	9.04	13.00
RD/2209	572	751.2	21.86	11.65	12.44
MD03-2661	570	745.6	18.52	9.50	12.44
RD/2209	574	742.9	26.23	14.46	14.58
MD03-2661	572	740.7	31.03	17.55	15.13
MD03-2661	574	735.8	34.39	19.72	16.94
RD/2209	576	734.7	26.20	14.44	16.54
MD03-2661	576	730.9	32.53	18.52	15.93
RD/2209	578	726.5	23.11	12.46	15.00
MD03-2661	578	725.9	26.33	14.53	15.47
MD03-2661	580	721.0	27.11	15.03	14.72
RD/2209	580	718.3	29.90	16.83	14.80
MD03-2661	582	716.1	26.70	14.77	14.22
MD03-2661	584	711.1	23.73	12.85	14.11
RD/2209	582	710.1	21.79	11.60	12.12
MD03-2661	586	706.1	26.31	14.52	12.40
RD/2209	584	701.9	14.45	6.88	12.95
MD03-2661	588	701.2	28.88	16.17	13.94
MD03-2661	590	696.2	27.95	15.57	13.16
RD/2209	586	693.7	29.46	16.55	14.70
MD03-2661	592	691.2	20.29	10.64	14.12
RD/2209	588	685.5	26.38	14.56	14.55
RD/2209	590	677.3	24.39	13.28	14.47
MD03-2661	600	671.3	31.30	17.73	15.34
RD/2209	592	669.1	28.85	16.15	15.22
MD03-2661	602	666.3	27.01	14.97	14.78
MD03-2661	604	661.3	25.45	13.96	14.12
RD/2209	594	660.9	20.98	11.08	13.45
MD03-2661	606	656.2	26.22	14.46	13.32
RD/2209	596	652.7	23.61	12.78	13.54
MD03-2661	608	651.2	26.00	14.32	13.87
MD03-2661	610	646.2	27.20	15.09	13.77
RD/2209	598	644.5	23.50	12.71	13.38
MD03-2661	612	641.1	25.47	13.97	13.20
RD/2209	600	636.3	20.53	10.79	14.87
MD03-2661	614	636.1	24.64	13.44	16.03
MD03-2661	616	631.0	40.15	23.43	16.32
RD/2209	602	628.1	32.53	18.52	17.10
MD03-2661	618	626.0	27.72	15.43	16.61
MD03-2661	620	620.9	26.60	14.70	14.31
RD/2209	604	619.9	20.83	10.98	13.50
MD03-2661	622	615.9	22.25	11.90	13.10
RD/2209	606	611.7	26.28	14.50	12.93
MD03-2661	624	610.8	24.61	13.42	13.52
MD03-2661	626	605.7	25.25	13.83	13.29
RD/2209	608	603.5	25.41	13.94	13.52
MD03-2661	628	600.6	20.49	10.77	13.11
MD03-2661	630	595.5	28.07	15.65	12.79
RD/2209	610	595.3	21.41	11.36	12.89
MD03-2661	632	590.4	22.77	12.23	13.42
RD/2209	612	587.1	26.21	14.45	12.51
MD03-2661	634	585.3	24.63	13.43	12.83
MD03-2661	636	580.2	20.99	11.09	13.36
RD/2209	614	578.9	23.89	12.96	12.93
MD03-2661	638	575.1	26.84	14.86	12.05
RD/2209	616	570.7	22.89	12.32	12.36
MD03-2661	640	569.9	17.75	9.00	12.59
RD/2209	618	562.5	23.45	12.67	12.59
MD03-2661	644	559.7	25.64	14.08	12.73
RD/2209	620	554.3	26.83	14.85	13.62
MD03-2661	648	549.4	24.00	13.03	13.51
RD/2209	622	546.1	24.71	13.49	12.41
MD03-2661	650	544.2	22.57	12.11	11.68
MD03-2661	652	539.0	17.12	8.60	12.13
RD/2209	624	537.9	21.15	11.19	12.83
RD/2209	626	529.7	27.50	15.28	13.11
MD03-2661	656	528.7	30.10	16.95	13.95
RD/2209	628	521.5	24.81	13.55	14.46
MD03-2661	660	518.3	23.64	12.80	13.85
RD/2209	630	513.3	25.05	13.70	13.40
MD03-2661	662	513.1	22.78	12.24	12.95
RD/2209	632	505.1	26.61	14.71	13.46
RD/2209	634	496.9	21.32	11.30	13.13
RD/2209	636	488.7	27.64	15.37	13.19
RD/2209	638	480.5	22.42	12.01	12.71
RD/2209	640	472.3	23.29	12.57	12.89
MD03-2661	678	471.3	22.87	12.30	12.48
MD03-2661	680	466.0	22.74	12.21	13.41
RD/2209	642	464.1	24.46	13.32	12.81
RD/2209	644	455.9	29.64	16.66	13.04
MD03-2661	684	455.5	18.57	9.53	13.46
RD/2209	646	447.7	24.65	13.45	13.04
RD/2209	648	439.5	26.07	14.36	12.92
MD03-2661	692	434.4	21.13	11.18	13.73
RD/2209	650	431.3	28.71	16.06	13.59
RD/2209	652	423.1	24.87	13.59	12.55
RD/2209	654	414.9	23.60	12.77	12.81
RD/2209	656	406.7	18.01	9.17	12.67
MD03-2661	710	386.4	23.09	12.44	13.08
MD03-2661	712	381.1	27.66	15.39	12.72
MD03-2661	714	375.7	28.04	15.63	13.83
MD03-2661	716	370.3	20.80	10.97	14.01
MD03-2661	722	354.2	26.63	14.72	13.89
MD03-2661	724	348.8	24.50	13.35	13.82
RD/2209	672	341.1	26.71	14.77	13.10
MD03-2661	736	316.3	27.54	15.31	12.24
MD03-2661	738	310.8	15.20	7.36	12.92
RD/2209	682	300.0	19.91	10.39	12.31
MD03-2661	742	299.9	29.82	16.78	11.51
PTMC-3	366	299.3	21.97	11.72	12.57
MD03-2661	744	294.4	21.35	11.32	13.59
RD/2209	684	291.8	23.44	12.67	12.87
MD03-2661	748	283.5	27.76	15.45	12.89
RD/2209	688	275.4	24.27	13.20	13.94
MD03-2661	754	267.0	22.11	11.81	12.95
MD03-2661	756	261.5	29.49	16.56	12.19
MD03-2661	758	256.0	15.76	7.72	13.07
RD/2209	696	242.6	21.88	11.66	13.48
MD03-2661	768	228.4	31.10	17.60	12.04
RD/2209	700	226.2	25.26	13.84	12.46
RD/2209	702	218.0	18.29	9.35	13.87
RD/2209	708	193.4	19.09	9.87	12.93
RD/2209	710	185.2	32.82	18.71	12.52
RD/2209	712	177.0	23.81	12.90	13.27
MD03-2661	788	172.7	22.02	11.75	14.25
RD/2209	714	168.8	24.13	13.11	13.19
MD03-2661	794	155.8	26.69	14.76	13.52
MD03-2661	796	150.2	24.59	13.41	13.94
MD03-2661	798	144.6	26.43	14.59	13.77
RD/2209	720	144.2	25.25	13.83	13.00
MD03-2661	800	138.9	22.80	12.26	12.41
RD/2209	722	136.0	20.75	10.93	12.34
RD/2209	724	127.8	19.98	10.44	11.92
MD03-2661	804	127.6	25.86	14.22	12.15
MD03-2661	806	122.0	22.00	11.74	13.92
RD/2209	726	119.6	24.62	13.42	13.73
RD/2209	728	111.4	34.46	19.76	13.45
MD03-2661	810	110.6	18.50	9.48	13.95
RD/2209	730	103.2	23.72	12.84	14.03
MD03-2661	814	99.3	25.86	14.23	12.57
RD/2209	732	95.0	25.27	13.84	12.85
MD03-2661	816	93.6	23.08	12.43	13.13
MD03-2661	818	87.9	20.74	10.93	12.37
RD/2209	734	86.8	25.88	14.24	11.73
RD/2209	736	78.6	19.94	10.41	12.22
RD/2209	738	70.4	20.30	10.64	12.12
RD/2209	740	62.2	26.88	14.88	11.30
MD03-2661	834	42.1	19.99	10.45	12.12
RD/2209	746	37.6	19.45	10.10	12.38
RD/2209	748	29.4	26.35	14.54	11.69
MD03-2661	840	24.8	22.26	11.91	11.89
RD/2209	750	21.2	21.52	11.43	12.13
RD/2209	752	13.0	21.62	11.49	11.45
RD/2209	754	4.8	21.30	11.29	11.46
RD/2209	756	-3.4	21.09	11.15	12.09
MD03-2661	852	-10.0	22.29	11.93	12.79
RD/2209	758	-11.6	26.45	14.61	12.98
RD/2209	760	-19.8	26.99	14.95	13.81
RD/2209	762	-28.0	22.79	12.25	13.77
RD/2209	766	-44.5	27.57	15.33	13.61
MD03-2661	866	-50.8	21.96	11.72	13.26
RD/2209	768	-52.7	25.22	13.81	13.97
MD03-2661	868	-56.6	24.29	13.22	13.59
RD/2209	770	-60.9	28.26	15.77	13.25
MD03-2661	870	-62.5	24.60	13.42	12.90
MD03-2661	872	-68.4	19.33	10.02	12.61
RD/2209	772	-69.1	22.54	12.08	11.81
MD03-2661	874	-74.2	22.01	11.75	11.50
RD/2209	774	-77.3	22.09	11.80	12.45
MD03-2661	876	-80.1	22.17	11.85	12.48
RD/2209	776	-85.5	26.72	14.78	12.82
RD/2209	778	-93.7	22.78	12.24	12.77
RD/2209	780	-101.9	24.64	13.44	12.06
RD/2209	782	-110.1	21.73	11.56	12.49
RD/2209	784	-118.3	16.60	8.26	12.19
MD03-2661	890	-121.5	30.06	16.93	11.90
RD/2209	786	-126.5	20.47	10.75	11.67
MD03-2661	894	-133.4	22.38	11.99	11.82
RD/2209	788	-134.7	19.92	10.40	11.04
RD/2209	790	-142.9	17.83	9.05	11.32
RD/2209	792	-151.1	23.96	13.00	10.64
MD03-2661	900	-151.2	22.62	12.14	10.94
MD03-2661	902	-157.2	17.11	8.59	10.98
RD/2209	794	-159.3	22.26	11.91	10.93
RD/2209	796	-167.5	18.13	9.25	10.73
MD03-2661	908	-175.1	23.58	12.76	11.18
RD/2209	798	-175.7	21.04	11.12	11.66
RD/2209	800	-183.9	20.61	10.84	12.32
MD03-2661	918	-205.2	26.06	14.35	12.80
MD03-2661	938	-265.7	23.26	12.55	14.00
MD03-2661	968	-357.7	27.25	15.12	
MD03-2661	978	-388.7	30.40	17.15	
